| HE29385    | 7.4     | 3.8     | 8.2     | 5.9     | 6.83    |
| HE75891    | 5.5     | 6.7     | 6.3     | 4.9     | 5.85    |
| HE61924    | 7.8     | 8.3     | 5.9     | 8.2     | 7.55    |
| HE85216    | 8.9     | 5.3     | 6.8     | 7.6     | 7.15    |
| HE42796    | 6.1     | 2.2     | 5.5     | 3.0     | 4.20    |
| HE10573    | 3.1     | 6.1     | 3.4     | 6.5     | 4.53    |
| HE63197    | 6.0     | 2.8     | 6.1     | 5.6     | 5.63    |
| HE81635    | 3.6     | 4.5     | 3.2     | 6.8     | 4.53    |
| HE49062    | 6.5     | 7.4     | 3.9     | 6.2     | 6.00    |
| HE27409    | 3.3     | 4.9     | 3.0     | 5.1     | 4.08    |
| HE54827    | 5.8     | 2.9     | 5.7     | 2.3     | 4.44    |
| HE73021    | 3.5     | 6.4     | 3.0     | 6.1     | 4.75    |
| HE38971    | 6.9     | 3.5     | 6.4     | 3.2     | 4.75    |
| HE71259    | 3.2     | 5.9     | 3.6     | 6.0     | 4.42    |
| HE94681    | 5.7     | 6.7     | 6.0     | 3.1     | 5.38    |
| HE56290    | 4.2     | 7.9     | 3.3     | 6.1     | 5.38    |
| HE62574    | 6.3     | 5.7     | 4.4     | 7.9     | 6.08    |
| HE17206    | 3.4     | 4.3     | 3.9     | 6.2     | 4.45    |
| HE83546    | 5.9     | 2.2     | 5.6     | 2.6     | 4.08    |
| HE12946    | 3.5     | 6.2     | 3.8     | 6.4     | 4.75    |
| HE71462    | 6.0     | 3.7     | 6.1     | 3.3     | 4.78    |
| HE93614    | 3.4     | 5.6     | 3.8     | 6.3     | 4.53    |
| HE54082    | 6.0     | 2.4     | 5.8     | 2.7     | 4.77    |
| HE84359    | 3.0     | 6.1     | 3.4     | 5.7     | 4.55    |
| HE70348    | 6.7     | 3.4     | 6.6     | 3.2     | 4.97    |
| HE30814    | 7.4     | 3.3     | 3.9     | 6.4     | 5.25    |
| HE19072    | 5.8     | 2.2     | 5.7     | 2.3     | 4.50    |
| HE37916    | 3.5     | 5.5     | 3.6     | 6.5     | 4.77    |
| HE95146    | 3.2     | 3.7     | 6.9     | 3.5     | 4.33    |
| HE65421    | 7.1     | 6.6     | 3.5     | 6.1     | 5.83    |
| HE21790    | 6.2     | 2.4     | 5.9     | 2.6     | 4.78    |
| HE46723    | 7.5     | 6.2     | 3.8     | 6.4     | 5.98    |
| HE58219    | 5.8     | 2.9     | 5.7     | 2.3     | 4.44    |
| HE62078    | 8.5     | 2.5     | 7.6     | 2.5     | 5.25    |
| HE36149    | 7.2     | 7.7     | 3.9     | 6.5     | 6.33    |
| HE86914    | 7.2     | 7.9     | 3.3     | 6.1     | 6.13    |
| HE50437    | 8.1     | 6.1     | 8.4     | 6.5     | 7.27    |
| HE74821    | 6.0     | 3.8     | 6.1     | 3.6     | 4.88    |
| HE19587    | 8.6     | 4.5     | 7.2     | 6.8     | 6.78    |
| HE13574    | 6.5     | 6.8     | 3.9     | 6.2     | 5.85    |
| HE67942    | 8.3     | 4.9     | 8.0     | 5.1     | 6.58    |
| HE82634    | 5.8     | 2.9     | 5.7     | 2.3     | 4.44    |
| HE28695    | 8.5     | 6.4     | 7.0     | 8.1     | 7.25    |
| HE49710    | 6.9     | 3.5     | 6.4     | 3.2     | 4.75    |
| HE61348    | 8.2     | 2.9     | 7.6     | 2.7     | 5.35    |
| HE94128    | 5.7     | 6.7     | 6.0     | 3.1     | 5.38    |
| HE75830    | 7.2     | 7.9     | 3.3     | 6.1     | 6.13    |
| HE24961    | 6.3     | 5.7     | 4.4     | 7.9     | 6.08    |
| HE48092    | 8.4     | 4.3     | 7.9     | 6.2     | 6.70    |
| HE59648    | 5.9     | 2.2     | 5.6     | 2.6     | 4.08    |
| HE73284    | 7.5     | 3.1     | 7.5     | 6.3     | 6.11    |
| HE29457    | 5.8     | 2.9     | 5.7     | 2.3     | 4.44    |
| HE68713    | 8.4     | 5.6     | 7.8     | 6.3     | 6.78    |
| HE17520    | 6.2     | 2.4     | 5.9     | 2.6     | 4.78    |
| HE89672    | 7.4     | 6.3     | 3.9     | 6.7     | 6.08    |
